idx,OPEX,CAPEX,NPV,CF,ciclos,BCR,Ppvinst,C,PinverterBESS,n_ciclos,frac_C,min_spread,alpha,beta,gamma,n_horas_c,n_horas_d
0,104319.7294091893,279873.31066819065,-175553.58125900134,8633.470146262203,0.0,0.3727391124224333,100.86119039076752,502.65250906704614,53.155237928516335,2,0.7604964388414813,0.672504930852103,4.904230861578454,0.9156228944952377,0.40965873524586033,6,4
1,7702337.180159958,4456504.065653913,3245833.1145060454,637443.1613076897,432.79699595979827,1.7283361726339583,3190.662317709414,11057.990305089093,3479.6687742936683,2,0.7043971022028749,0.006801745523830196,2.238862614922786,0.8903218571800033,0.3329692140728646,6,5
2,104319.7294091893,279873.31066819065,-175553.58125900134,8633.470146262203,0.0,0.3727391124224333,100.86119039076752,502.65250906704614,53.155237928516335,2,0.76523197916146,0.6293064242146489,4.900484895480633,0.9156228944952377,0.40965873524586033,6,4
3,5624047.151056397,2788293.6114796917,2835753.539576705,465444.4893099894,492.5140491346101,2.0170211371935927,2629.530923742299,5085.065659751477,2776.904834378903,2,0.7778840734777539,0.0025836178937411747,2.1191156307008336,0.9105978404938228,0.09704799972392845,6,4
4,6545252.948534259,3525662.582864839,3019590.3656694195,541683.2103662214,514.6459605172053,1.8564603942376694,2983.9085383174993,7127.760159317281,3808.9584379841654,2,0.8028645495151016,0.012275709537133713,1.173332317570021,0.30916000823170575,0.02744263442282663,6,5
5,5386196.418946036,2735562.5890413895,2650633.8299046466,445760.03262503445,435.3447951135763,1.9689538234376482,2730.1643789099417,5040.992606128213,1997.3758303859152,2,0.7589343522484472,0.004193091146259098,4.644870393429134,0.32575662264084837,0.09895215832875465,6,4
6,7625845.599877185,4332797.284341374,3293048.315535811,631112.740604417,458.30784124474116,1.7600282449023887,3298.552510161122,10124.010482663267,3769.625941485344,2,0.7472009528365758,0.009379773003534563,1.4096473672574363,0.7232564696993229,0.35665915911865675,6,5
7,7288828.487934247,4193930.8611489004,3094897.6267853463,603221.3034695871,441.04430465103525,1.7379467447724017,2256.787942249792,11557.056485210967,4013.05430139377,2,0.6623790687110914,0.012400052097476452,4.600710825274265,0.8919256753633057,0.44135271999899267,6,5
8,6295881.343413194,3230589.1305615003,3065292.2128516934,521045.2896168933,513.9416593296397,1.9488338160535206,3046.6382821407583,6300.379043427163,2588.4565864230312,2,0.7589747238580342,0.007736004382330238,1.9352115327584902,0.9513720262890949,0.4946123922603639,6,6
9,670855.2262819821,404932.4497692637,265922.77651271847,55519.78136227105,522.5683023197074,1.6567089811257287,269.968415949121,578.3646691920769,309.3593640860408,2,0.6226032283645959,0.009041478023566175,2.528862033306924,0.2858976350744846,0.06326383004054925,6,5
