Hour,lambda,psi,Plu,PL,Ppvmx,Ppv,Pb,Ps,Pc,Pd,SOC,w1,w3,score,Benefit,CashFlow,npv
1,0.06333,0.022821,1.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,5062.0052,0,1,0.511082,-344670.0442,627847.7098,3376884.3374
2,0.05009,0.022821,1.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,5062.0052,0,1,0.504039,-344670.0442,627847.7098,3376884.3374
3,0.0475,0.022821,1.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,5062.0052,0,1,0.502661,-344670.0442,627847.7098,3376884.3374
4,0.0435,0.022821,1.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,5062.0052,0,1,0.500532,-344670.0442,627847.7098,3376884.3374
5,0.0425,0.022821,1.0,1000.0,0.0,0.0,1000.0,0.0,1884.813,0.0,6875.9492,1,1,0.5,-344670.0442,627847.7098,3376884.3374
6,0.04209,0.022821,1.0,1000.0,0.0,0.0,1000.0,0.0,1756.0917,0.0,8566.0119,1,1,0.499782,-344670.0442,627847.7098,3376884.3374
7,0.0425,0.022821,1.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,8566.0119,0,1,0.5,-344670.0442,627847.7098,3376884.3374
8,0.04259,0.022821,1.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,8566.0119,0,1,0.500048,-344670.0442,627847.7098,3376884.3374
9,0.04337,0.022821,1.0,1000.0,0.0,0.0,0.0,886.5581,0.0,1886.5581,6605.7478,0,0,0.500463,-344670.0442,627847.7098,3376884.3374
10,0.04229,0.022821,1.0,1000.0,257.5182,257.5182,1000.0,0.0,1909.1556,0.0,8443.1192,1,1,0.499888,-344670.0442,627847.7098,3376884.3374
11,0.025,0.022821,1.0,1000.0,787.1822,787.1822,1000.0,0.0,1220.5847,0.0,9617.81,1,1,0.490689,-344670.0442,627847.7098,3376884.3374
12,0.0039,0.022821,1.0,1000.0,1160.5277,1160.5277,0.0,160.5277,0.0,0.0,9617.81,0,0,0.479471,-344670.0442,627847.7098,3376884.3374
