Hour,lambda,psi,Plu,PL,Ppvmx,Ppv,Pb,Ps,Pc,Pd,SOC,w1,w3,score,Benefit,CashFlow,npv
1,0.06333,0.022821,1.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,1134.5471,0,1,0.516473,-570292.4215,402225.3325,2279102.6659
2,0.05009,0.022821,1.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,1134.5471,0,1,0.506004,-570292.4215,402225.3325,2279102.6659
3,0.0475,0.022821,1.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,1134.5471,0,1,0.503955,-570292.4215,402225.3325,2279102.6659
4,0.0435,0.022821,1.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,1134.5471,0,1,0.500791,-570292.4215,402225.3325,2279102.6659
5,0.0425,0.022821,1.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,1134.5471,0,1,0.5,-570292.4215,402225.3325,2279102.6659
6,0.04209,0.022821,1.0,1000.0,0.0,0.0,1000.0,0.0,254.0243,0.0,1379.02,1,1,0.499676,-570292.4215,402225.3325,2279102.6659
7,0.0425,0.022821,1.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,1379.02,0,1,0.5,-570292.4215,402225.3325,2279102.6659
8,0.04259,0.022821,1.0,1000.0,0.0,0.0,1000.0,0.0,0.0,0.0,1379.02,0,1,0.500071,-570292.4215,402225.3325,2279102.6659
9,0.04337,0.022821,1.0,1000.0,0.0,0.0,745.7909,0.0,0.0,254.2091,1114.8793,0,1,0.500688,-570292.4215,402225.3325,2279102.6659
10,0.04229,0.022821,1.0,1000.0,347.0532,347.0532,652.9468,0.0,0.0,0.0,1114.8793,0,1,0.499834,-570292.4215,402225.3325,2279102.6659
11,0.025,0.022821,1.0,1000.0,1060.8729,1060.8729,327.5099,0.0,388.3828,0.0,1488.6589,1,1,0.486159,-570292.4215,402225.3325,2279102.6659
12,0.0039,0.022821,1.0,1000.0,1564.0248,1564.0248,0.0,56.3055,507.7192,0.0,1977.2879,1,0,0.469501,-570292.4215,402225.3325,2279102.6659
13,0.0032,0.022821,1.0,1000.0,1806.9534,1806.9534,0.0,621.6339,185.3195,0.0,2155.6394,1,0,0.468949,-570292.4215,402225.3325,2279102.6659
14,0.00206,0.022821,1.0,1000.0,2108.5613,2108.5613,0.0,1000.0,0.0,0.0,2155.6394,0,0,0.468051,-570292.4215,402225.3325,2279102.6659
