t_ventana    t_original   estacion
--------------------------------------
t1           t2639        Primavera
t2           t2640        Primavera
t3           t2641        Primavera
t4           t2642        Primavera
t5           t2643        Primavera
t6           t2644        Primavera
t7           t2645        Primavera
t8           t2646        Primavera
t9           t2647        Primavera
t10          t2648        Primavera
t11          t2649        Primavera
t12          t2650        Primavera
t13          t2651        Primavera
t14          t2652        Primavera
t15          t2653        Primavera
t16          t2654        Primavera
t17          t2655        Primavera
t18          t2656        Primavera
t19          t2657        Primavera
t20          t2658        Primavera
t21          t2659        Primavera
t22          t2660        Primavera
t23          t2661        Primavera
t24          t2662        Primavera
t25          t2663        Primavera
t26          t2664        Primavera
t27          t2665        Primavera
t28          t2666        Primavera
t29          t2667        Primavera
t30          t2668        Primavera
t31          t2669        Primavera
t32          t2670        Primavera
t33          t2671        Primavera
t34          t2672        Primavera
t35          t2673        Primavera
t36          t2674        Primavera
t37          t2675        Primavera
t38          t2676        Primavera
t39          t2677        Primavera
t40          t2678        Primavera
t41          t2679        Primavera
t42          t2680        Primavera
t43          t2681        Primavera
t44          t2682        Primavera
t45          t2683        Primavera
t46          t2684        Primavera
t47          t2685        Primavera
t48          t2686        Primavera
t49          t2687        Primavera
t50          t2688        Primavera
t51          t2689        Primavera
t52          t2690        Primavera
t53          t2691        Primavera
t54          t2692        Primavera
t55          t2693        Primavera
t56          t2694        Primavera
t57          t2695        Primavera
t58          t2696        Primavera
t59          t2697        Primavera
t60          t2698        Primavera
t61          t2699        Primavera
t62          t2700        Primavera
t63          t2701        Primavera
t64          t2702        Primavera
t65          t2703        Primavera
t66          t2704        Primavera
t67          t2705        Primavera
t68          t2706        Primavera
t69          t2707        Primavera
t70          t2708        Primavera
t71          t2709        Primavera
t72          t2710        Primavera
t73          t2711        Primavera
t74          t2712        Primavera
t75          t2713        Primavera
t76          t2714        Primavera
t77          t2715        Primavera
t78          t2716        Primavera
t79          t2717        Primavera
t80          t2718        Primavera
t81          t2719        Primavera
t82          t2720        Primavera
t83          t2721        Primavera
t84          t2722        Primavera
t85          t2723        Primavera
t86          t2724        Primavera
t87          t2725        Primavera
t88          t2726        Primavera
t89          t2727        Primavera
t90          t2728        Primavera
t91          t2729        Primavera
t92          t2730        Primavera
t93          t2731        Primavera
t94          t2732        Primavera
t95          t2733        Primavera
t96          t2734        Primavera
t97          t2735        Primavera
t98          t2736        Primavera
t99          t2737        Primavera
t100         t2738        Primavera
t101         t2739        Primavera
t102         t2740        Primavera
t103         t2741        Primavera
t104         t2742        Primavera
t105         t2743        Primavera
t106         t2744        Primavera
t107         t2745        Primavera
t108         t2746        Primavera
t109         t2747        Primavera
t110         t2748        Primavera
t111         t2749        Primavera
t112         t2750        Primavera
t113         t2751        Primavera
t114         t2752        Primavera
t115         t2753        Primavera
t116         t2754        Primavera
t117         t2755        Primavera
t118         t2756        Primavera
t119         t2757        Primavera
t120         t2758        Primavera
t121         t2759        Primavera
t122         t2760        Primavera
t123         t2761        Primavera
t124         t2762        Primavera
t125         t2763        Primavera
t126         t2764        Primavera
t127         t2765        Primavera
t128         t2766        Primavera
t129         t2767        Primavera
t130         t2768        Primavera
t131         t2769        Primavera
t132         t2770        Primavera
t133         t2771        Primavera
t134         t2772        Primavera
t135         t2773        Primavera
t136         t2774        Primavera
t137         t2775        Primavera
t138         t2776        Primavera
t139         t2777        Primavera
t140         t2778        Primavera
t141         t2779        Primavera
t142         t2780        Primavera
t143         t2781        Primavera
t144         t2782        Primavera
t145         t2783        Primavera
t146         t2784        Primavera
t147         t2785        Primavera
t148         t2786        Primavera
t149         t2787        Primavera
t150         t2788        Primavera
t151         t2789        Primavera
t152         t2790        Primavera
t153         t2791        Primavera
t154         t2792        Primavera
t155         t2793        Primavera
t156         t2794        Primavera
t157         t2795        Primavera
t158         t2796        Primavera
t159         t2797        Primavera
t160         t2798        Primavera
t161         t2799        Primavera
t162         t2800        Primavera
t163         t2801        Primavera
t164         t2802        Primavera
t165         t2803        Primavera
t166         t2804        Primavera
t167         t2805        Primavera
t168         t2806        Primavera
t169         t4680        Verano
t170         t4681        Verano
t171         t4682        Verano
t172         t4683        Verano
t173         t4684        Verano
t174         t4685        Verano
t175         t4686        Verano
t176         t4687        Verano
t177         t4688        Verano
t178         t4689        Verano
t179         t4690        Verano
t180         t4691        Verano
t181         t4692        Verano
t182         t4693        Verano
t183         t4694        Verano
t184         t4695        Verano
t185         t4696        Verano
t186         t4697        Verano
t187         t4698        Verano
t188         t4699        Verano
t189         t4700        Verano
t190         t4701        Verano
t191         t4702        Verano
t192         t4703        Verano
t193         t4704        Verano
t194         t4705        Verano
t195         t4706        Verano
t196         t4707        Verano
t197         t4708        Verano
t198         t4709        Verano
t199         t4710        Verano
t200         t4711        Verano
t201         t4712        Verano
t202         t4713        Verano
t203         t4714        Verano
t204         t4715        Verano
t205         t4716        Verano
t206         t4717        Verano
t207         t4718        Verano
t208         t4719        Verano
t209         t4720        Verano
t210         t4721        Verano
t211         t4722        Verano
t212         t4723        Verano
t213         t4724        Verano
t214         t4725        Verano
t215         t4726        Verano
t216         t4727        Verano
t217         t4728        Verano
t218         t4729        Verano
t219         t4730        Verano
t220         t4731        Verano
t221         t4732        Verano
t222         t4733        Verano
t223         t4734        Verano
t224         t4735        Verano
t225         t4736        Verano
t226         t4737        Verano
t227         t4738        Verano
t228         t4739        Verano
t229         t4740        Verano
t230         t4741        Verano
t231         t4742        Verano
t232         t4743        Verano
t233         t4744        Verano
t234         t4745        Verano
t235         t4746        Verano
t236         t4747        Verano
t237         t4748        Verano
t238         t4749        Verano
t239         t4750        Verano
t240         t4751        Verano
t241         t4752        Verano
t242         t4753        Verano
t243         t4754        Verano
t244         t4755        Verano
t245         t4756        Verano
t246         t4757        Verano
t247         t4758        Verano
t248         t4759        Verano
t249         t4760        Verano
t250         t4761        Verano
t251         t4762        Verano
t252         t4763        Verano
t253         t4764        Verano
t254         t4765        Verano
t255         t4766        Verano
t256         t4767        Verano
t257         t4768        Verano
t258         t4769        Verano
t259         t4770        Verano
t260         t4771        Verano
t261         t4772        Verano
t262         t4773        Verano
t263         t4774        Verano
t264         t4775        Verano
t265         t4776        Verano
t266         t4777        Verano
t267         t4778        Verano
t268         t4779        Verano
t269         t4780        Verano
t270         t4781        Verano
t271         t4782        Verano
t272         t4783        Verano
t273         t4784        Verano
t274         t4785        Verano
t275         t4786        Verano
t276         t4787        Verano
t277         t4788        Verano
t278         t4789        Verano
t279         t4790        Verano
t280         t4791        Verano
t281         t4792        Verano
t282         t4793        Verano
t283         t4794        Verano
t284         t4795        Verano
t285         t4796        Verano
t286         t4797        Verano
t287         t4798        Verano
t288         t4799        Verano
t289         t4800        Verano
t290         t4801        Verano
t291         t4802        Verano
t292         t4803        Verano
t293         t4804        Verano
t294         t4805        Verano
t295         t4806        Verano
t296         t4807        Verano
t297         t4808        Verano
t298         t4809        Verano
t299         t4810        Verano
t300         t4811        Verano
t301         t4812        Verano
t302         t4813        Verano
t303         t4814        Verano
t304         t4815        Verano
t305         t4816        Verano
t306         t4817        Verano
t307         t4818        Verano
t308         t4819        Verano
t309         t4820        Verano
t310         t4821        Verano
t311         t4822        Verano
t312         t4823        Verano
t313         t4824        Verano
t314         t4825        Verano
t315         t4826        Verano
t316         t4827        Verano
t317         t4828        Verano
t318         t4829        Verano
t319         t4830        Verano
t320         t4831        Verano
t321         t4832        Verano
t322         t4833        Verano
t323         t4834        Verano
t324         t4835        Verano
t325         t4836        Verano
t326         t4837        Verano
t327         t4838        Verano
t328         t4839        Verano
t329         t4840        Verano
t330         t4841        Verano
t331         t4842        Verano
t332         t4843        Verano
t333         t4844        Verano
t334         t4845        Verano
t335         t4846        Verano
t336         t4847        Verano
t337         t6214        Otoño
t338         t6215        Otoño
t339         t6216        Otoño
t340         t6217        Otoño
t341         t6218        Otoño
t342         t6219        Otoño
t343         t6220        Otoño
t344         t6221        Otoño
t345         t6222        Otoño
t346         t6223        Otoño
t347         t6224        Otoño
t348         t6225        Otoño
t349         t6226        Otoño
t350         t6227        Otoño
t351         t6228        Otoño
t352         t6229        Otoño
t353         t6230        Otoño
t354         t6231        Otoño
t355         t6232        Otoño
t356         t6233        Otoño
t357         t6234        Otoño
t358         t6235        Otoño
t359         t6236        Otoño
t360         t6237        Otoño
t361         t6238        Otoño
